uri	pub	pub_copy	urlwd	idwd	mplace
http://lkg.org.pl/ns/lkg-core/F11_C588	Film	Film	https://www.wikidata.org/wiki/Q1706835	Q1706835	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C590	Filozofia	Filozofia	https://www.wikidata.org/wiki/Q5449209	Q5449209	Bratislava, Slovakia
http://lkg.org.pl/ns/lkg-core/F11_C591	Filozofuj!	Filozofuj!	https://www.wikidata.org/wiki/Q21499691	Q21499691	Lublin, Poland
http://lkg.org.pl/ns/lkg-core/F11_C77	Fischer Taschenbuch Verlag	Fischer-Taschenbuch-Verlag	https://www.wikidata.org/wiki/Q20088183	Q20088183	Frankfurt am Main, Germany
http://lkg.org.pl/ns/lkg-core/F11_C592	Focus	Focus	https://www.wikidata.org/wiki/Q5463907	Q5463907	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C593	Folha de S.Paulo	Folha de S. Paulo	https://www.wikidata.org/wiki/Q1435379	Q1435379	São Paulo, Brazil
http://lkg.org.pl/ns/lkg-core/F11_C594	Forum	Forum	https://www.wikidata.org/wiki/Q9261850	Q9261850	Warsaw, Poland
http://lkg.org.pl/ns/lkg-core/F11_C80	Francisco Alves	Livraria Francisco Alves	https://www.wikidata.org/wiki/Q10319325	Q10319325	Rio de Janeiro, Brazil
http://lkg.org.pl/ns/lkg-core/F11_C596	Frankfurter Allgemeine Magazin	Frankfurter Allgemeine Zeitung	https://www.wikidata.org/wiki/Q10184	Q10184	Frankfurt am Main, Germany
http://lkg.org.pl/ns/lkg-core/F11_C597	Frankfurter Allgemeine Zeitung	Frankfurter Allgemeine Zeitung	https://www.wikidata.org/wiki/Q10184	Q10184	Frankfurt am Main, Germany
http://lkg.org.pl/ns/lkg-core/F11_C598	Frankfurter Rundschau	Frankfurter Rundschau	https://www.wikidata.org/wiki/Q326068	Q326068	Frankfurt am Main, Germany
http://lkg.org.pl/ns/lkg-core/F11_C81	Frederick Ungar Publishing Co.	Frederick Ungar Publishing Company	https://www.wikidata.org/wiki/Q16993796	Q16993796	New York, United States
http://lkg.org.pl/ns/lkg-core/F11_C82	Funambulista	Editorial Funambulista	https://www.wikidata.org/wiki/Q5818634	Q5818634	Madrid, Spain
http://lkg.org.pl/ns/lkg-core/F11_C90	GRIN Verlag	GRIN Verlag	https://www.wikidata.org/wiki/Q1244838	Q1244838	Munich, Germany
http://lkg.org.pl/ns/lkg-core/F11_C601	Galaxies Science-Fiction	Q3094529	https://www.wikidata.org/wiki/Q3094529	Q3094529	Paris, France
http://lkg.org.pl/ns/lkg-core/F11_C84	Gale Research Company & Book Tower	Gale	https://www.wikidata.org/wiki/Q2077283	Q2077283	Detroit, United States
http://lkg.org.pl/ns/lkg-core/F11_C602	Galore	Q1492703	https://www.wikidata.org/wiki/Q1492703	Q1492703	Dortmund, Germany
http://lkg.org.pl/ns/lkg-core/F11_C603	Gazeta Białostocka	Gazeta Współczesna	https://www.wikidata.org/wiki/Q5529098	Q5529098	Bialystok, Poland
