uri	myido	myid	mauthor	mtitle	titleCP	urlwd	idwd	mtitle_tree	mpub	myear
http://lkg.org.pl/ns/lkg-core/F1_NFPL2358	4117	NFPL2358	Jarzębski Jerzy	Sława i Fortuna. Listy do Michaela Kandla 1972-1987 / Tłumaczenie fragmentów z języka angielskiego: Tomasz Lem; Redakcja: Wojciech Zemek	Sława i Fortuna	https://www.wikidata.org/wiki/Q24946313	Q24946313	Sława i Fortuna. Listy do Michaela Kandla 1972-1987 / Tłumaczenie fragmentów z języka angielskiego: Tomasz Lem; Redakcja: Wojciech Zemek	Wydawnictwo Literackie	2013
http://lkg.org.pl/ns/lkg-core/F1_NFPL2370	4321	NFPL2370	Lem Stanisław	Planeta LEMa. Felietony ponadczasowe / Wybór: Wojciech Zemek	Planeta LEMa. Felietony ponadczasowe	https://www.wikidata.org/wiki/Q28671982	Q28671982	Planeta LEMa. Felietony ponadczasowe / Wybór: Wojciech Zemek	Wydawnictwo Literackie	2016
http://lkg.org.pl/ns/lkg-core/F1_NFPL2399	4593	NFPL2399	Lem Stanisław	Boli tylko, gdy się śmieję… Listy i rozmowy	Boli tylko, gdy się śmieję… Listy i rozmowy	https://www.wikidata.org/wiki/Q60832895	Q60832895	Boli tylko, gdy się śmieję… Listy i rozmowy	Wydawnictwo Literackie	2018
http://lkg.org.pl/ns/lkg-core/F1_NFPL2401	4617	NFPL2401	Lem Stanisław	Diabeł i arcydzieło. Teksty przełomowe / Wybór: Wojciech Zemek; Konsultacje bibliograficzne: Wiktor Jaźniewicz	Diabeł i arcydzieło	https://www.wikidata.org/wiki/Q60833434	Q60833434	Diabeł i arcydzieło. Teksty przełomowe / Wybór: Wojciech Zemek; Konsultacje bibliograficzne: Wiktor Jaźniewicz	Wydawnictwo Literackie	2018
http://lkg.org.pl/ns/lkg-core/F1_NFPL2445	4803	NFPL2445	Orliński Wojciech	Lem w PRL-u, czyli nieco prawdy w zwiększonej objętości (na podstawie korespondencji Stanisława Lema)	Lem w PRL-u	https://www.wikidata.org/wiki/Q110825226	Q110825226	Lem w PRL-u, czyli nieco prawdy w zwiększonej objętości (na podstawie korespondencji Stanisława Lema)	Wydawnictwo Literackie	2021
http://lkg.org.pl/ns/lkg-core/F1_NFPL2467	5263	NFPL2467	Lem Stanisław	Biblioteka XXI wieku	The World as Holocaust	https://www.wikidata.org/wiki/Q118876298	Q118876298	Biblioteka XXI wieku	Wydawnictwo Literackie	2023
http://lkg.org.pl/ns/lkg-core/F1_NFRU737	8383	NFRU737	Lem Stanisław	Сумма технологии	Summa Technologiae	https://www.wikidata.org/wiki/Q1051225	Q1051225	Сумма технологии	Глобус	2019
http://lkg.org.pl/ns/lkg-core/F1_NFRU742	8397	NFRU742	Lem Stanisław	Глас Господа	His Master's Voice	https://www.wikidata.org/wiki/Q650297	Q650297	Глас Господа	Глобус	2020
http://lkg.org.pl/ns/lkg-core/F1_NFRU745	8438	NFRU745	Lem Stanisław	Ийон Тихий	Observation on the Spot	https://www.wikidata.org/wiki/Q1627253	Q1627253	Ийон Тихий	Издательство АСТ	2020
http://lkg.org.pl/ns/lkg-core/F1_NFRU752	8538	NFRU752	Lem Stanisław	Дилеммы XXI века / Составитель В.Язневич; Перевод с польского и немецкого В.Язневича; Редактор В.Борисов	The World as Holocaust	https://www.wikidata.org/wiki/Q118876298	Q118876298	Дилеммы XXI века / Составитель В.Язневич; Перевод с польского и немецкого В.Язневича; Редактор В.Борисов	Издательство АСТ	2021
http://lkg.org.pl/ns/lkg-core/F1_NFRU763	8766	NFRU763	Lem Stanisław	Высокий замок	Highcastle	https://www.wikidata.org/wiki/Q4129317	Q4129317	Высокий замок	Издательство АСТ	2022
http://lkg.org.pl/ns/lkg-core/F1_NFRU771	8938	NFRU771	Lem Stanisław	Провокация	Provocation	https://www.wikidata.org/wiki/Q11828065	Q11828065	Провокация	Издательство АСТ	2023
http://lkg.org.pl/ns/lkg-core/F1_NFRU773	8974	NFRU773	Lem Stanisław	Приключения Ийона Тихого	Observation on the Spot	https://www.wikidata.org/wiki/Q1627253	Q1627253	Приключения Ийона Тихого	Издательство АСТ	2023
http://lkg.org.pl/ns/lkg-core/F1_NFRU784	8997	NFRU784	Lem Stanisław	Осмотр на месте	Observation on the Spot	https://www.wikidata.org/wiki/Q1627253	Q1627253	Осмотр на месте	Издательство АСТ	2024
http://lkg.org.pl/ns/lkg-core/F1_NFDE277	9623	NFDE277	Bereska Henryk	Provokation / Aus dem Polnischen von Henryk Bereska	Provocation	https://www.wikidata.org/wiki/Q11828065	Q11828065	Provokation / Aus dem Polnischen von Henryk Bereska	Verlag Volk und Welt	1985
http://lkg.org.pl/ns/lkg-core/F1_NFDE320	9724	NFDE320	Lem Stanisław	Provokationen	Provocation	https://www.wikidata.org/wiki/Q11828065	Q11828065	Provokationen	Insel Verlag	1988
http://lkg.org.pl/ns/lkg-core/F1_NFDE538	10370	NFDE538	Orliński Wojciech	Lem w PRL-u, czyli nieco prawdy w zwiększonej objętości (na podstawie korespondencji Stanisława Lema)	Lem w PRL-u	https://www.wikidata.org/wiki/Q110825226	Q110825226	Lem w PRL-u, czyli nieco prawdy w zwiększonej objętości (na podstawie korespondencji Stanisława Lema)	Wydawnictwo Literackie	2021
http://lkg.org.pl/ns/lkg-core/F1_NFEN161	10627	NFEN161	Lem Stanisław	A Blink of an Eye / Translated by Christina Manetti	Okamgnienie	https://www.wikidata.org/wiki/Q1295961	Q1295961	A Blink of an Eye / Translated by Christina Manetti	Central Europe Review	2001
http://lkg.org.pl/ns/lkg-core/F1_NFEN184	10719	NFEN184	Lem Stanisław	Listy 1956–1978	Q11761832	https://www.wikidata.org/wiki/Q11761832	Q11761832	Listy 1956–1978	Wydawnictwo Literackie	2011
http://lkg.org.pl/ns/lkg-core/F1_NFEN186	10725	NFEN186	Kandel Michael	Sława i Fortuna. Listy do Michaela Kandla 1972-1987	Q24946313	https://www.wikidata.org/wiki/Q24946313	Q24946313	Sława i Fortuna. Listy do Michaela Kandla 1972-1987	Wydawnictwo Literackie	2013
http://lkg.org.pl/ns/lkg-core/F1_NFEN217	11019	NFEN217	Orliński Wojciech	Lem w PRL-u, czyli nieco prawdy w zwiększonej objętości (na podstawie korespondencji Stanisława Lema)	Lem w PRL-u	https://www.wikidata.org/wiki/Q110825226	Q110825226	Lem w PRL-u, czyli nieco prawdy w zwiększonej objętości (na podstawie korespondencji Stanisława Lema)	Wydawnictwo Literackie	2021
http://lkg.org.pl/ns/lkg-core/F1_NFUK32	11258	NFUK32	Lem Stanisław	Високий Замок / Переклад з польскоï Лариси Андрiєвськоï	Highcastle	https://www.wikidata.org/wiki/Q4129317	Q4129317	Високий Замок / Переклад з польскоï Лариси Андрiєвськоï	ЛА «Пiрамiда»	2002
http://lkg.org.pl/ns/lkg-core/F1_NFUK45	11277	NFUK45	Lem Stanisław	Вислови / В: Орися Хом'як, Фантаст, який не любив фантастики	Highcastle	https://www.wikidata.org/wiki/Q4129317	Q4129317	Вислови / В: Орися Хом'як, Фантаст, який не любив фантастики	Високий Замок	2016
http://lkg.org.pl/ns/lkg-core/F1_NFUK48	11283	NFUK48	Lem Stanisław	Високий Замок / Переклад з польскоï Лариси Андрiєвськоï	Highcastle	https://www.wikidata.org/wiki/Q4129317	Q4129317	Високий Замок / Переклад з польскоï Лариси Андрiєвськоï	Навчальна книга – Богдан	2016
